station_id,name,lat,lon,address,capacity,current
416,257 - Plaza Francisco Ramirez,-34.5533,-58.4691,"2700 Pedraza, Manuela",27,1
417,127 - PLAZA LEONARDO N. ALEM,-34.5763,-58.5025,Cochrane 2407,20,1
418,345 - Plaza Mafalda,-34.5809,-58.4446,Conde & Concepción Arenal,16,1
420,375 - Ciudad Universitaria I,-34.5446,-58.4396,INTENDENTE GUIRALDES 2160 - PABELLÓN I,16,1
422,379 - PARQUE SARMIENTO II,-34.5645,-58.5029,Alfonsina Storni 3771,16,1
423,043 - PLAZA ALBERDI,-34.5593,-58.4878,Crisólogo Larralde 4544,12,1
424,387 - Luna,-34.6398,-58.3991,Luna 301,12,1
425,394 - Av. La Plata,-34.643,-58.4228,Av. La Plata 2400,20,1
426,396 - PLAZA ALBERTI,-34.5557,-58.4579,ARCOS 2665,20,1
427,397 - PARQUE SANTOJANNI,-34.6484,-58.5136,ACASSUSO 6373,16,1
428,225 - HOSPITAL TORNU,-34.5875,-58.474,1052 Avalos,20,1
429,201 - PLAZA EJERCITO DE LOS ANDES,-34.639,-58.5101,Av. Rivadavia y Albariño,16,1
431,362 - PARQUE DE LA MEMORIA,-34.5426,-58.4369,Av. Costanera Rafael Obligado 7200,20,1
432,187 - Jose Maria Moreno,-34.6199,-58.4358,141 Jose Maria Moreno,28,1
433,273 - Plazoleta Colombia,-34.6377,-58.3737,1619 Brandsen,24,1
434,247 - PLAZA LUCIO DEMARE,-34.5457,-58.4651,O`Higgins 3750,20,1
435,227 -Club Ciudad de Buenos Aires,-34.5445,-58.4595,Miguel Sanchez y Av Libertadores,24,1
436,253 - Plaza Colegiales,-34.5765,-58.4435,Tte. Benjamin Matienzo 2886,16,1
440,142 - ARMENIA,-34.5906,-58.4289,ARMENIA 1525 y GORRITI,16,1
441,016 - Legislatura,-34.6098,-58.3748,"169 Peru & Roca, Julio A., Presidente Diagonal Sur Av.",20,1
444,061 - Ministerio de Economia,-34.6089,-58.3707,"Balcarce e Yrigoyen, Hipolito Av.",23,0
448,393 - Barrio 31,-34.5821,-58.3788,Islas Galápagos 2800,32,1
449,352 - San Jose de Flores,-34.6288,-58.4633,Av. Rivadavia 6955,24,1
453,028 - Plaza de la Bandera,-34.6295,-58.4945,Av. Gaona 5181,20,1
454,176 - Plaza Derechos del hombre,-34.634,-58.5069,CORTINA 551,12,1
455,039 - Plaza Don Bosco,-34.6265,-58.508,Elpidio Gonzalez 5181,16,1
457,110 - PLAZA CD DE BANFF,-34.628,-58.5217,ROMA 786,16,1
458,219 - Parque Chacabuco II,-34.6364,-58.444,AV. ASAMBLEA 1400,28,0
460,133 - BEIRO Y SEGUROLA,-34.6075,-58.5119,Segurola 3194,16,1
461,106 - MOSCONI Y CONSTITUYENTES,-34.5809,-58.4936,CONSTITUYENTES 4710,20,1
464,377 - CIUDAD UNIVERSITARIA III,-34.541,-58.4441,Intendente Guiraldes 2160 - Pabellón III,28,1
465,192 - HOSPITAL SIRIO,-34.5905,-58.5071,Gabriela Mistral 3325 y Campana,12,1
466,333 - PARQUE DE LA ESTACIÓN,-34.6081,-58.4118,Dr. Tomás Manuel de Anchorena 170,20,1
467,328 - SARMIENTO II,-34.6055,-58.3959,Sarmiento 2037,12,1
468,084 - TEATRO PICADERO,-34.6042,-58.3937,Riobamba 403,8,1
469,062 - PARQUE ONEGA,-34.5934,-58.5138,Av. Gral.Mosconi 3780,16,1
471,173 - EL LIBERTADOR,-34.5947,-58.5033,Av. San Martín 6220,12,1
472,310 - FREIRE II,-34.5751,-58.4528,Tte. Gral Ramón Freire 1003,16,1
473,216 - EMILIO LAMARCA,-34.6134,-58.4934,EMILIO LAMARCA 2066,12,1
474,224 - BAIGORRIA,-34.6109,-58.503,Baigorria 4101,16,1
475,238 - PLAZA LAS TOSCANERAS,-34.6165,-58.526,Ramón Lista 5500 (y Moliere),12,1
476,279 - PLAZA MONTE CASTRO,-34.6183,-58.4985,Gualeguaychú 1900,12,1
477,311 - SEC. DE INNOVACION Y TRANSFORMACIÓN,-34.635,-58.3951,Av. Caseros 2309,12,1
478,015 - AMENABAR,-34.5721,-58.4475,Teodoro García 2613,12,1
479,347 - CARABOBO,-34.6263,-58.4553,Pumacahua 9,24,1
480,353 - PLAZA VÉLEZ SARSFIELD,-34.6293,-58.4836,Chivilcoy 400,12,1
481,369 - PLAZA LARRAZABAL,-34.643,-58.5127,AV. LARRAZABAL 380,16,1
482,376 - PASEO DE LA COSTANERA,-34.5505,-58.43,Av. Costanera Rafael Obligado 6200,12,1
483,175 - PLAZA MACKENNA,-34.5437,-58.4771,CRAMER 4500,12,1
484,295 - SUPERÍ,-34.5555,-58.4768,NUÑEZ 3486,12,1
486,220 - PLAZA FELIX LIMA,-34.5421,-58.4706,RAMALLO 2200,12,1
487,239 - AVENIDA CRAMER,-34.5581,-58.4673,Av. Cramer 2900,12,1
488,234 - AVENIDA TRIUNVIRATO,-34.5657,-58.4952,Av. Triunvirato 5752,12,1
489,288 - SECRETARÍA DE DEPORTES,-34.5476,-58.4566,AV LIBERTADOR 7100,16,1
